2009-04-20 02:56:52 startup archives install
2009-04-20 02:56:52 install base-files <none> 5ubuntu4
2009-04-20 02:56:52 status half-installed base-files 5ubuntu4
2009-04-20 02:56:52 status unpacked base-files 5ubuntu4
2009-04-20 02:56:52 status unpacked base-files 5ubuntu4
2009-04-20 02:56:53 install base-passwd <none> 3.5.21
2009-04-20 02:56:53 status half-installed base-passwd 3.5.21
2009-04-20 02:56:53 status unpacked base-passwd 3.5.21
2009-04-20 02:56:53 status unpacked base-passwd 3.5.21
2009-04-20 02:56:53 configure base-passwd 3.5.21 3.5.21
2009-04-20 02:56:53 status unpacked base-passwd 3.5.21
2009-04-20 02:56:53 status half-configured base-passwd 3.5.21
2009-04-20 02:56:53 status installed base-passwd 3.5.21
2009-04-20 02:56:53 configure base-files 5ubuntu4 5ubuntu4
2009-04-20 02:56:53 status unpacked base-files 5ubuntu4
2009-04-20 02:56:53 status unpacked base-files 5ubuntu4
2009-04-20 02:56:53 status unpacked base-files 5ubuntu4
2009-04-20 02:56:53 status unpacked base-files 5ubuntu4
2009-04-20 02:56:53 status unpacked base-files 5ubuntu4
2009-04-20 02:56:53 status unpacked base-files 5ubuntu4
2009-04-20 02:56:53 status half-configured base-files 5ubuntu4
2009-04-20 02:56:54 status installed base-files 5ubuntu4
2009-04-20 02:57:31 startup archives install
2009-04-20 02:57:31 upgrade dpkg 1.14.24ubuntu1 1.14.24ubuntu1
2009-04-20 02:57:31 status half-configured dpkg 1.14.24ubuntu1
2009-04-20 02:57:31 status unpacked dpkg 1.14.24ubuntu1
2009-04-20 02:57:31 status half-installed dpkg 1.14.24ubuntu1
2009-04-20 02:57:32 status half-installed dpkg 1.14.24ubuntu1
2009-04-20 02:57:32 status unpacked dpkg 1.14.24ubuntu1
2009-04-20 02:57:32 status unpacked dpkg 1.14.24ubuntu1
2009-04-20 02:57:32 configure dpkg 1.14.24ubuntu1 1.14.24ubuntu1
2009-04-20 02:57:32 status unpacked dpkg 1.14.24ubuntu1
2009-04-20 02:57:32 status unpacked dpkg 1.14.24ubuntu1
2009-04-20 02:57:32 status unpacked dpkg 1.14.24ubuntu1
